clave_mun,municipio,asistencia_18_24,basica_incompleta_15mas,analfabeta_15mas,pct_internet,sin_lavadora,pob_6a14_no_asiste,pct_jefatura_f,piso_tierra,lengua_indigena,sin_drenaje,intensidad_migratoria,sin_energia_electrica,sin_excusado,sin_derechohabiencia
20392,Santa Lucía Monteverde,30.030959752321984,56.142196,20.067311999999998,8.439490445859873,91.011236,3.9719629999999997,19.177441969154074,28.838950999999998,53.674972574831536,87.74745899999999,-64.03472,6.206528,2.9962549999999997,9.262563
20393,Santa Lucía Ocotlán,10.44776119402985,70.311987,16.223316999999998,34.56669912366115,57.448879999999996,9.81241,18.931224538701173,15.968841,76.90169320192065,43.914314,-61.19788,0.778968,1.071081,15.097052
20394,Santa María Alotepec,27.2108843537415,49.38447,13.020833,6.30407911001236,86.724566,3.002309,17.470760233918128,16.129032,93.23671497584542,31.265508999999998,-63.89041,2.4813899999999998,1.3647639999999999,17.811159
20395,Santa María Apazco,28.799999999999997,66.22734799999999,35.502471,1.185770750988142,71.371769,1.286174,28.780177890724268,20.675943999999998,79.4580970384373,90.656064,-63.49606,5.964214999999999,5.367793,21.608349
20396,Santa María la Asunción,13.013698630136986,76.257723,49.779346999999994,6.362672322375397,94.629431,11.872145999999999,34.33158382216733,15.252417,91.19254259080681,38.345864999999996,-65.27835,2.685285,4.511278,13.439705
20397,Heroica Ciudad de Tlaxiaco,35.26459854014598,31.409762999999998,6.7441699999999996,27.58588146470366,49.058398,3.7929049999999997,30.897134570185532,17.186608,25.441482222280708,33.241392,-63.96647,1.43618,1.1793799999999999,39.712883
20398,Ayoquezco de Aldama,15.904572564612327,62.890519,15.267589999999998,16.075307748008687,37.97654,8.389716,22.855970455478047,12.243402,7.014157014157014,32.991202,-58.66101,1.0263929999999999,2.346041,25.543701
20399,Santa María Atzompa,40.86107235399641,26.856769999999997,3.5685189999999998,51.473563825107775,40.849788,4.5749699999999995,31.2673031026253,8.295134,12.553861660577045,4.769041,-64.44718,1.9393509999999998,0.9432299999999999,39.583979
20400,Santa María Camotlán,25.71428571428571,56.985870999999996,9.576138,6.415094339622642,38.519923999999996,3.819444,24.810274372446,3.6053129999999998,0.4229607250755287,7.400379999999999,-60.49512,2.466793,5.502846,19.206070999999998
20401,Santa María Colotepec,16.810493614083537,43.281763,9.213733,26.063003249046474,50.305527999999995,9.156379,25.30356878424404,9.492682,7.8117018350426335,5.570556,-63.88252,2.998437,2.259486,32.030615
20402,Santa María Cortijo,13.043478260869565,54.729729999999996,15.135135,13.496932515337424,43.865030999999995,4.0201009999999995,23.430178069353328,7.361962999999999,4.581673306772909,12.576687,-61.45856,2.760736,11.656442,25.679475
20403,Santa María Coyotepec,36.38497652582159,32.43929,3.153316,31.69601482854495,47.064305999999995,5.0,25.40655825113303,4.566636,7.625698324022347,2.423113,-64.70216,1.39795,1.2115559999999999,39.322846999999996
20404,Santa María Chachoápam,38.333333333333336,44.281045999999996,3.921569,4.4534412955465585,38.461538,6.25,17.871222076215506,4.453441,1.7615176151761516,16.194332,-63.35977,0.0,2.024291,27.069644999999998
20405,Villa de Chilapa de Díaz,25.0,63.973313999999995,11.119347999999999,19.141323792486585,27.370303999999997,7.594937,29.09090909090909,8.765653,11.832280298678919,1.7889089999999999,-60.3159,0.894454,1.252236,18.4573
20406,Santa María Chilchotla,10.8,69.808318,28.752335,6.831524639743818,92.335116,8.66578,17.65889731348872,43.582888,89.68010300089135,80.802139,-65.05477,6.506239,1.97861,17.164282999999998
20407,Santa María Chimalapa,9.876543209876543,63.136095,21.538462,11.127933383800151,75.03787899999999,9.381373,22.395072040091875,11.55303,44.75800761958516,13.068182,-64.08091,2.5,26.25,22.238463
20408,Santa María del Rosario,41.17647058823529,49.722221999999995,6.111110999999999,6.25,60.416667,1.123596,19.639278557114228,12.5,13.626834381551362,76.38888899999999,-63.7045,2.083333,3.472222,24.448898
20409,Santa María del Tule,46.635730858468676,22.03536,1.710507,62.160062160062154,23.744647999999998,5.26749,33.24375769790617,4.632153,6.230274693161894,0.661736,-64.67664,0.194628,0.46710799999999997,29.567065999999997
20410,Santa María Ecatepec,11.046511627906977,52.676296,5.862362,13.534675615212526,64.606742,5.2708639999999995,13.134328358208954,10.0,37.69325912183055,4.2696629999999995,-64.70595,2.58427,2.47191,13.897015999999999
20411,Santa María Guelacé,31.372549019607842,45.633803,2.8169009999999997,23.50597609561753,49.40239,2.5,24.669603524229075,12.749004,14.742857142857144,17.52988,-62.9845,0.796813,1.9920319999999998,47.687225
20412,Santa María Guienagati,12.797619047619047,61.538461999999996,13.240093,25.971143174250834,73.971079,5.928236999999999,16.287160025300444,15.239154999999998,25.5,15.906562999999998,-62.65508,6.117909,9.566184999999999,24.795469
20413,Santa María Huatulco,24.291621994179813,34.569915,6.448593,45.73010015814444,47.213201999999995,5.754614999999999,29.44012011537398,10.265756999999999,4.553440400157086,4.612632,-64.13762,2.458745,1.358606,32.000315
20414,Santa María Huazolotitlán,11.47244805781391,53.315619,17.271257,20.54718034617532,54.507279,4.180682,22.492705293872447,6.746919999999999,28.32512315270936,7.446809,-62.35367,1.9596859999999998,5.683091,28.211755
20415,Santa María Ipalapa,8.598130841121495,63.340304999999994,15.954585999999999,5.108359133126935,54.390054,5.464481,26.09676096760968,6.604507,15.038084874863983,2.8749029999999998,-57.78226,1.631702,2.564103,18.819188
20416,Santa María Ixcatlán,5.714285714285714,55.091384,18.015666,16.56441717791411,80.368098,0.0,21.25813449023861,29.447853,5.405405405405405,0.0,-64.83318774193549,0.613497,0.613497,77.87418699999999
20417,Santa María Jacatepec,21.101871101871104,53.75127,16.13699,14.094728800611152,59.661929,3.736135,26.079322454038422,12.447175999999999,58.223972003499554,26.661544,-63.60142,1.1525159999999999,1.844026,19.562074
20418,Santa María Jalapa del Marqués,39.48306595365419,38.883837,9.877245,37.12541620421754,47.921897,4.038772,27.704373028727304,10.013947,4.248307801923762,3.4309619999999996,-63.65393,2.92887,3.34728,24.831699999999998
20419,Santa María Jaltianguis,39.58333333333333,51.569506999999994,2.017937,43.18181818181818,32.386364,3.488372,25.675675675675674,10.795454999999999,46.54867256637168,3.977273,-60.72779,1.136364,0.568182,14.358108
20420,Santa María Lachixío,16.425120772946862,53.484320999999994,22.996516,5.472636815920398,76.070529,5.792682999999999,20.570388349514563,27.20403,90.29615626969124,62.216625,-64.22579,4.030227,0.755668,8.159619
20421,Santa María Mixtequilla,40.33018867924528,38.918614,7.800619999999999,30.810092961487385,34.48966,2.670623,25.05330490405117,7.271514,1.582349008246044,2.9352899999999997,-64.63088,1.667779,3.002001,14.157783
20422,Santa María Nativitas,35.84905660377358,43.870968,9.247311999999999,4.060913705583756,68.877551,1.136364,25.632377740303543,3.0612239999999997,29.82758620689655,36.224489999999996,-64.21115,1.5306119999999999,3.0612239999999997,20.895522
20423,Santa María Nduayaco,31.03448275862069,62.666667,7.199999999999999,6.164383561643835,60.689654999999995,0.0,24.390243902439025,18.62069,1.3574660633484164,28.965517,-64.90564,3.448276,2.068966,22.516555999999998
20424,Santa María Ozolotepec,7.142857142857142,63.305979,18.640093999999998,7.826982492276004,86.466942,5.7544759999999995,16.574294008973347,21.590909,21.34453781512605,68.90495899999999,-63.9353,3.202479,1.342975,24.097020999999998
20425,Santa María Pápalo,10.843373493975903,59.156785,17.061923999999998,2.8391167192429023,92.101106,1.129944,15.2089407191448,15.481833,87.34693877551021,25.750394999999997,-64.82423,2.21169,0.789889,15.986395
20426,Santa María Peñoles,10.11433597185576,55.369357,15.509576,4.964953271028037,91.569087,4.232534,15.966101694915254,27.9274,88.80579297245964,97.248244,-64.48228,7.435597,3.1030439999999997,23.06234
20427,Santa María Petapa,24.90092470277411,44.92649,11.211329,20.315661675435045,52.856564,4.044118,27.879549808429115,4.47731,24.060517325524646,2.876823,-64.89835,1.2358179999999999,12.905185999999999,34.706094
